Categoria;Poblacio;Poblacio extranjera Total;Poblacio extranjera % vert.;Poblacio extranjera % sobre (1)
Badalona;223006;34361;2,75;15,41
Barcelona;1636732;348302;27,85;21,28
Begues;7356;530;0,04;7,21
Castelldefels;67226;14346;1,15;21,34
Cerdanyola del Valles;57217;5501;0,44;9,61
Cornella de Llobregat;89300;14055;1,12;15,74
El Papiol;4232;333;0,03;7,87
Gava;46931;5297;0,42;11,29
L'Hospitalet del Llobregat;264657;58685;4,69;22,17
Montcada i Reixac;36794;5026;0,40;13,66
Montgat;12260;1195;0,10;9,75
Sant Adria de Besos;37283;5665;0,45;15,19
Sant Climent de Llobregat;4193;153;0,01;3,65
Sant Feliu de Llobregat;45463;3597;0,29;7,91
Sant Joan Despi;34130;2865;0,23;8,39
Sant Just Desvern;19379;2292;0,18;11,83
Santa Coloma de Cervello;8273;325;0,03;3,93
Santa Coloma de Gramenet;119289;26419;2,11;22,15
Torrelles de Llobregat;6126;327;0,03;5,34
Viladecans;66707;5441;0,44;8,16
